LatrineID,LONGITUDE_latrine,LATITUDE_latrine,BARIID,unsanitary,sanitary,SEPTIC_RIN,PIPE,DOUBLE_RIN,DRAIN_IN_P,PRIVATE,FAILING,NEAR_DISCH,WATER_BODY,POND_DISTA,POND_VERTI,LONGITUD_Well,LATITUDE_Well,Well_ID,CONCRETE_B,Platform,PRIVATE_1,DEEPWELL,DRINKING,DEPTH_FT,YEAR_INSTALL,Well_age,NEAREST_WA,POND_HD,POND_VD,LAT_HD,LAT_VD,LATRINE_TY,Dist_wellatrine,Unsan100m,SAN100m,Totlatr100m,Village,Longitude,Latitude,Depth,As,Nodrinking,Pop25m,Pop50m,Pop100m,Pop200m,Priming,prime,date,r7,r15,r30,hr7,hr15,hr30,t7,t15,t30,hot7,hot15,hot30,place,r3,hr3,t3,hot3,dateid,ECMPN,ecdetect,month,year,sampleid,WELLID,OBSDATE,TEMP,EC,DO_MGL,PH,ORP,SO4,TCMPND,day,UBA,WTA,ACA,SHA,BRA,WEA,DIST,URBAN,WATER,AGR,SHRUB,BARREN,WETLAND,date0,Rain,HR,Tair,hotday,popden100,ECMPN10,logEC
465,90.6455054,23.37119216,D98061,0,1,1,1,1,0,1,0,2,1,1,-0.4,90.64559919,23.37122412,21782,1,1,1,0,0,45,1996,12,2,0,0,0,0,1,10.9,20,28,48,Barahaldia,90.64559919,23.37122412,13.5,90,0,28,42,293,786,0.13,13,458,26.37,13.56,15.57,3,3,7,20.4,26.64,28.28,1,9,13,1,53.63,3,27.87,0,4581,22.4,1,7,2009,21782907,21782,7/2/2009,26.33,3.096,0.82,6.14,-891,2,2455.619,2,6817.24,7488.68,2206.4,12000.07,2031.78,830.84,100,21.71,23.85,7.03,38.22,6.47,2.65,2-Jul-09,55.98,1,27.25,0,9.141119995,224,2.350248018
540,90.65954637,23.34743788,C00038,0,1,1,1,1,0,1,0,1,1,4,-0.9,90.65948354,23.34724184,21615,1,1,1,0,1,60,1983,25,1,20,-2,22,-2,2,22.64,15,14,29,Sardarkandi,90.65948354,23.34724184,18,1,90,7,81,182,262,0,0,492,25.16,32.46,20.74,4,7,8,28.98,29.18,29.34,1,3,7,1,9.4,1,30.13,1,4921,22.5,1,8,2009,21615908,21615,8/5/2009,26.45,0.431,0.66,-9.99,31.2,3,118.272,5,4591.2,11725.92,6374.68,6075.16,2219.14,388.85,100,14.62,37.34,20.3,19.35,7.07,1.24,5-Aug-09,35.49,1,27.78,0,8.664954073,225,2.352182518
438,90.64400055,23.37155448,D98032,0,1,1,1,1,0,1,0,2,1,1.8,-0.5,90.64387884,23.37155491,21798,1,1,1,0,1,35,2004,4,3,0,0,0,0,1,13.39,16,20,36,Barahaldia,90.64387884,23.37155491,10.5,1,5,42,101,208,726,0,0,198,2.57,8.91,12.21,0,4,7,28.16,27.85,27.96,0,0,0,1,0,0,29.04,0,1981,22.5,1,10,2008,21798810,21798,10/15/2008,26.92,0.922,0.64,7.82,217.5,0,543.237,15,6038.32,7341.68,2984.2,13027.53,1335.37,647.69,100,19.23,23.38,9.5,41.49,4.25,2.06,15-Oct-08,0,0,28.95,0,8.798485466,225,2.352182518
544,90.65905362,23.34790254,C00040,0,1,1,1,1,0,1,0,1,1,16,-0.7,90.6592897,23.34787793,21613,1,1,1,0,1,55,1992,16,3,0,0,20,0,1,26.11,10,18,28,Sardarkandi,90.6592897,23.34787793,16.5,42,10,42,82,170,310,0,0,162,0.64,8.35,10.92,0,1,5,28.86,28.76,28.68,0,2,3,1,1.49,0,28.64,0,1621,22.7,1,9,2008,21613809,21613,9/9/2008,26.73,0.582,0.81,6.75,281.2,0,3000,9,4816.79,10471.08,6022.24,6887.38,3094.92,82.52,100,15.34,33.35,19.18,21.93,9.86,0.26,9-Sep-08,0,0,28.98,0,8.596745823,227,2.356025857
35,90.65356252,23.35514768,C00079,1,0,1,1,1,1,1,1,1,1,0,0,90.65321442,23.35502971,21692,0,3,1,0,1,40,2001,7,3,0,0,0,0,2,40.43,7,11,18,Sardarkandi,90.65321442,23.35502971,12,53,18,22,28,83,179,0,0,162,0.64,8.35,10.92,0,1,5,28.86,28.76,28.68,0,2,3,1,1.49,0,28.64,0,1621,23,1,9,2008,21692809,21692,9/9/2008,26.94,0.333,0.75,7.67,250.4,5,3000,9,1388.71,5792.18,15904.12,7053.76,730.6,505.57,100,4.42,18.45,50.65,22.46,2.33,1.61,9-Sep-08,0,0,28.98,0,7.879787994,230,2.361727836
979,90.64581583,23.35839392,D96025,0,1,1,0,0,0,1,0,1,1,8.7,-1,90.64582707,23.35838617,21726,1,3,1,0,1,40,2002,6,3,0,0,3,0,2,1.5,2,10,12,Shakharipara,90.64582707,23.35838617,12,8,45,28,33,86,148,0,0,136,19.85,11.13,11.35,2,2,5,29.2,29.33,25.17,2,3,4,1,4.5,0,28.5,0,1361,23.3,1,8,2008,21726808,21726,8/14/2008,26.32,0.206,0.75,7.39,269,4,210.356,14,1141.9,2560.41,19672.55,6371.19,1628.87,,100,3.64,8.15,62.65,20.29,5.19,0,14-Aug-08,0,0,29.2,0,7.915294682,233,2.367355921
674,90.64986961,23.36769098,D98187,0,1,1,1,1,0,1,0,1,1,3.2,-1,90.64981856,23.3676422,21741,1,1,1,1,1,105,1997,11,1,24,-1.7,0,0,1,7.77,4,11,15,Barahaldia,90.64981856,23.3676422,31.5,156,4,4,17,61,239,0,0,457,17.65,9.19,13.39,2,2,6,20.85,27.1,28.32,2,10,13,1,36.45,2,28.02,0,4571,23.4,1,7,2009,21741907,21741,7/1/2009,26.03,0.379,0.83,7.23,-1186.3,0,196.177,1,1496.18,6778.38,13025.52,7387.13,2631.98,55.75,100,4.76,21.59,41.48,23.53,8.38,0.18,1-Jul-09,65.58,1,27.75,0,7.57182125,234,2.369215857
225,90.6478265,23.36864682,D98068,1,0,1,1,1,0,1,1,1,1,15.4,-1.5,90.64794598,23.36858821,21769,0,2,1,0,1,70,2007,1,1,3.9,-1.5,0,0,1,14.64,3,7,10,Barahaldia,90.64794598,23.36858821,21,422,8,5,12,55,347,0.13,13,457,17.65,9.19,13.39,2,2,6,20.85,27.1,28.32,2,10,13,1,36.45,2,28.02,0,4571,23.5,1,7,2009,21769907,21769,7/1/2009,26.4,0.532,0.83,6.78,-943.2,1,160.847,1,3084.9,3322.47,12757.75,7134.02,4853.74,222.05,100,9.82,10.58,40.63,22.72,15.46,0.71,1-Jul-09,65.58,1,27.75,0,7.468280571,235,2.371067862
300,90.65896743,23.3474163,C00038,1,0,1,1,0,1,1,0,2,1,0,0,90.65913541,23.34743755,21614,1,1,1,0,1,50,1996,12,1,17.2,-2.1,15,-2,1,18.63,13,15,28,Sardarkandi,90.65913541,23.34743755,15,3,19,34,72,178,280,0,0,162,0.64,8.35,10.92,0,1,5,28.86,28.76,28.68,0,2,3,1,1.49,0,28.64,0,1621,23.7,1,9,2008,21614809,21614,9/9/2008,26.88,0.457,0.79,6.91,279.8,0,348.004,9,4888.25,10556.95,7168.84,5811.81,2560.46,388.65,100,15.57,33.62,22.83,18.51,8.15,1.24,9-Sep-08,0,0,28.98,0,8.642730936,237,2.374748346
40,90.64348671,23.37176475,D98034,1,0,1,1,1,1,1,1,1,1,0.5,-0.4,90.64368614,23.37178763,21797,0,3,1,0,1,45,2002,6,1,22.2,-1.6,21,0,1,22.08,13,20,33,Barahaldia,90.64368614,23.37178763,13.5,1,30,43,98,257,645,0.25,25,428,2.67,4.6,6.44,0,1,4,28.78,29.09,28.92,2,5,10,1,3.07,0,28.72,1,4281,24.1,1,6,2009,21797906,21797,6/2/2009,26.84,2.416,0.56,7.29,451.4,0,558.747,2,5016.97,7168.36,3792.98,13163.43,1436.67,796.36,100,15.98,22.83,12.08,41.92,4.58,2.54,2-Jun-09,0,0,29.2,0,9.010023471,241,2.382017043
